Key: 1, Name: Produto A, Preço: 10.99
Key: 2, Name: Produto B, Preço: 15.5
Key: 3, Name: Produto C, Preço: 8.75
Key: 4, Name: Produto D, Preço: 12
Key: 5, Name: Produto E, Preço: 20.49
Key: 6, Name: Produto F, Preço: 5.99
Key: 7, Name: Produto G, Preço: 7.49
Key: 8, Name: Produto H, Preço: 14.99
1, Produto A, 10.99
2, Produto B, 15.5
3, Produto C, 8.75
4, Produto D, 12
5, Produto E, 20.49
6, Produto F, 5.99
7, Produto G, 7.49
8, Produto H, 14.99
1, Produto A, 10.99
2, Produto B, 15.5
3, Produto C, 8.75
4, Produto D, 12
5, Produto E, 20.49
6, Produto F, 5.99
7, Produto G, 7.49
8, Produto H, 14.99
